#{"t_start": 1754592836.6638713, "env_id": "None"}
r,l,t
91.556205,19,106.386564
38.274407,9,106.394339
5.002721,2,106.396275
5.002181,2,106.398012
127.579157,26,106.41988
70.216503,15,106.432553
84.868305,18,106.447797
25.620758,6,106.453087
239.033707,49,106.493966
63.466232,14,107.399489
15.159078,4,107.402821
53.442006,12,107.412626
61.977108,14,107.423705
40.565219,9,107.430934
5.048528,2,107.432678
36.18689,8,107.439078
82.40751,17,107.452857
103.773316,22,107.470491
62.941944,14,107.481844
54.118704,12,107.491539
66.450395,14,107.502649
34.140551,8,107.50913
25.54661,6,107.51424
47.186759,10,107.522222
108.279959,23,107.540563
15.12211,4,107.544049
145.944996,30,107.568168
141.346247,29,107.591453
89.923528,19,107.606566
49.146405,11,107.615372
70.134054,15,107.627397
35.246079,8,107.633806
47.998559,11,107.642688
5.052094,2,107.644515
20.15497,5,107.648714
41.233236,9,107.655888
5.049175,2,107.657846
20.297126,5,107.661991
15.058725,4,107.66538
53.29968,12,107.674968
59.828769,13,107.685534
82.70517,18,107.700025
5.011626,2,107.70178
9.870993,3,107.704298
56.204158,12,107.714086
29.667852,7,107.719793
89.557891,19,107.735082
51.329518,11,107.744499
91.151404,19,107.760186
48.189504,11,107.768999
79.27154,17,107.782845
23.903585,6,107.787655
68.005596,15,107.7998
10.184667,3,107.802349
61.930419,13,107.812718
48.219768,11,107.821444
61.081839,13,107.832074
142.06467,30,107.855987
5.034309,2,107.85789
38.732122,9,107.865114
75.280566,16,107.87787
5.068538,2,107.879501
65.021113,14,107.890572
56.315874,12,107.900322
100.499798,22,107.917714
5.047058,2,107.919446
114.998456,24,107.938738
103.0315,22,107.956358
34.395414,8,107.963072
73.918034,16,107.975783
20.316666,5,107.980059
43.218406,10,107.988045
25.643516,6,107.992984
44.056277,10,108.001307
117.442737,24,108.021441
49.321233,11,108.030561
5.011925,2,108.0325
92.699147,20,108.048983
115.637415,24,108.068214
20.441195,5,108.072263
15.127603,4,108.075702
15.263847,4,108.078996
85.676037,18,108.093706
48.731639,11,108.102546
39.011846,9,108.110395
33.971139,8,108.117401
50.927984,11,108.126247
93.23272,20,108.142486
65.654759,14,108.154103
59.966011,13,108.16494
105.842144,22,108.182503
112.692501,24,108.201513
47.917031,11,108.210423
39.437401,9,108.217564
41.670948,9,108.224796
4.919672,2,108.226544
5.091759,2,108.228286
5.020533,2,108.230028
15.11371,4,108.233379
4.924452,2,108.235103
116.663429,24,108.254354
95.472752,20,108.270539
41.96447,9,108.277863
61.599504,13,108.288172
74.112777,16,108.30107
43.203581,10,108.309113
68.282664,15,108.321193
111.068265,23,108.339672
67.9952,15,108.351762
63.300417,14,108.363529
29.354437,7,108.369119
86.220524,19,108.385231
57.797285,13,108.395877
4.984723,2,108.397646
61.093712,13,108.407883
72.524254,16,108.420921
70.409771,15,108.432903
42.465024,10,108.441
33.927253,8,108.447698
88.314636,19,108.463494
132.457801,27,108.484895
