#{"t_start": 1754656415.784797, "env_id": "None"}
r,l,t
29.538274,36,428.216738
29.963367,30,428.242622
15.362055,11,428.252546
29.474409,21,428.270717
11.60929,17,428.285519
15.683568,11,428.295197
17.162809,32,428.322951
20.267583,31,428.350163
14.303415,21,428.368252
17.924854,28,428.392637
17.003698,19,428.408964
12.478572,18,428.424736
31.595667,34,428.45413
24.712061,24,428.474984
8.587351,22,428.4942
36.642297,28,428.518315
30.116709,35,428.548906
17.094506,19,428.565365
26.498969,22,428.5847
12.963554,19,428.60088
44.346512,28,428.625463
19.706245,23,428.645071
17.615767,30,428.671579
11.392982,15,428.684565
28.849318,19,428.701232
28.942321,27,428.724565
13.871149,14,428.736621
8.975522,14,428.749137
4.573138,16,428.763078
12.170417,19,428.779881
35.603831,32,428.80743
13.884354,23,428.828228
17.735943,14,428.840548
4.932428,19,428.857317
19.692596,47,428.898059
29.604011,26,428.920558
14.088291,9,428.92852
9.039175,14,428.940758
15.818689,20,428.958452
16.461778,15,428.97152
13.88785,26,428.993881
12.60649,16,429.007789
16.301874,19,429.024304
9.771626,20,429.041642
21.006796,17,429.056974
18.572223,25,429.078531
17.012452,12,429.089049
9.878812,20,429.10645
10.569199,8,429.113517
28.700095,34,429.14414
14.880777,18,429.160042
10.386627,20,429.177535
0.8975,13,429.188844
22.897342,29,429.213691
21.918573,22,429.232573
33.062447,33,429.261421
25.256332,25,429.283108
21.351257,19,429.299813
13.147255,13,429.311171
16.538712,22,429.330076
32.103615,26,429.35293
11.040506,16,429.366784
32.360534,41,429.402062
22.650057,40,429.436526
7.822155,20,429.454238
12.457136,14,430.412909
18.652707,17,430.427431
14.772608,20,430.44471
27.538164,32,430.472426
23.861285,23,430.492042
21.281061,25,430.513473
73.344583,56,430.56136
24.701599,22,430.580327
34.988646,38,430.618815
20.109725,21,430.636847
13.246431,24,430.657409
13.012265,21,430.676003
31.505757,21,430.694254
12.543973,16,430.708062
2.953736,16,430.722014
25.57021,24,430.74307
32.336226,36,430.77433
26.07875,29,430.79947
58.544426,66,430.856377
8.649617,9,430.864747
15.988456,24,430.885901
21.760705,24,430.906512
16.202739,31,430.932882
29.539627,46,430.972652
12.367324,22,430.992022
44.716387,35,431.022284
27.879553,29,431.047299
14.118643,11,431.056707
27.23294,22,431.07579
40.161477,42,431.111934
4.86448,13,431.126021
10.57349,16,431.139586
28.346288,31,431.166353
18.91497,20,431.184331
34.525426,25,431.205875
11.147091,12,431.216156
12.347904,23,431.235767
23.295747,32,431.263492
14.600265,10,431.272186
10.620894,22,431.290994
82.355256,77,431.356045
38.183032,25,431.37762
52.527286,60,431.428684
45.042907,55,431.47569
1.984064,11,431.485403
28.943762,22,431.5046
54.290852,42,431.540837
27.108971,21,431.558867
6.727163,13,431.570369
39.931759,26,431.592541
17.885858,22,431.611516
20.756185,14,431.623339
12.554118,28,431.647076
20.57874,16,431.660791
16.569005,12,431.671675
19.802696,10,431.680334
38.049674,42,431.716158
4.233116,17,431.730808
12.340677,12,431.741049
19.160848,28,431.76551
44.264235,34,431.794684
3.388429,18,431.80995
33.203942,34,431.83924
19.050534,12,431.849651
11.784874,11,431.859088
17.190511,24,431.879846
28.416457,49,431.924073
34.60624,28,431.947872
49.807275,36,431.97898
13.126934,12,431.98925
35.858275,48,432.029836
7.510757,12,432.040107
29.106124,31,432.067063
28.840222,33,432.095275
8.234655,16,432.109057
19.70533,27,432.133562
18.280303,25,432.154985
11.501705,21,432.173555
31.825132,27,433.151339
14.018507,19,433.168451
31.202783,29,433.195772
48.398947,49,433.243467
30.155212,22,433.262713
14.824327,15,433.277566
21.129442,17,433.29246
51.88274,59,433.344667
23.189764,29,433.3737
35.622953,36,433.40715
37.898322,41,433.444036
32.311897,43,433.48301
27.931561,22,433.502106
13.30348,19,433.519606
11.915777,12,433.530181
23.364084,32,433.558853
15.747603,19,433.576001
26.847153,27,433.60056
29.815282,35,433.631788
13.285648,17,433.650839
24.145162,27,433.674574
4.464848,6,433.680192
20.261494,22,433.700821
38.255102,50,433.744982
9.921122,16,433.758744
21.370793,18,433.776134
34.747279,34,433.806656
23.798649,27,433.830727
10.577177,27,433.859228
14.681066,17,433.873995
2.907292,10,433.884439
27.153028,21,433.903485
28.057196,37,433.936939
25.265145,28,433.962618
13.968818,16,433.976999
10.195508,30,434.004187
11.699372,9,434.012386
25.757458,25,434.03425
6.981381,23,434.055461
27.445775,27,434.080047
15.500855,31,434.107217
16.103706,15,434.122561
44.221289,55,434.172055
18.276919,30,434.198537
